,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
11715104_s_at,4.981249564,-1.222549148,0.103488875,-11.81333883,3.33E-32,2.54E-29
11715119_s_at,6.300787676,0.233576113,0.083968415,2.781713955,0.005407268,0.045245717
11715177_s_at,3.576565096,0.432108674,0.112710602,3.833789069,0.000126184,0.002065948
11715217_s_at,4.137356348,-0.557435512,0.105850704,-5.266242818,1.39E-07,5.13E-06
11715221_x_at,5.241820781,0.287213807,0.092893377,3.091865292,0.001989031,0.020233033
11715222_at,7.986906494,-0.240495262,0.074979736,-3.207470122,0.00133908,0.014742311
11715228_s_at,6.820863129,-0.902307491,0.084419645,-10.68835916,1.15E-26,4.89E-24
11715239_x_at,9.939582359,0.20993522,0.067607652,3.105199118,0.00190151,0.01953831
11715252_at,5.483597163,0.249835301,0.090455568,2.761967072,0.005745427,0.04743367
11715280_s_at,3.247525079,0.763956372,0.12121187,6.302653138,2.93E-10,1.78E-08
11715301_s_at,6.953129346,0.269344564,0.08009777,3.362697419,0.000771849,0.009431674
11715306_s_at,7.569859804,0.22738801,0.077200006,2.945440299,0.003224954,0.030166711
11715331_x_at,7.852247224,0.255199177,0.07560294,3.375519224,0.000736765,0.009099352
11715347_s_at,11.07180391,-0.219718774,0.064414145,-3.411032985,0.000647173,0.008150436
11715348_x_at,9.566051578,-0.308887973,0.069293412,-4.457681664,8.29E-06,0.00019767
11715350_a_at,7.318854045,0.484529112,0.079180899,6.119267655,9.40E-10,5.26E-08
11715351_at,6.66069247,0.663854927,0.083651626,7.935947635,2.09E-15,2.71E-13
11715352_x_at,5.406790921,0.892004314,0.09555218,9.335258684,1.01E-20,2.35E-18
11715353_s_at,10.1711373,0.312412005,0.06712089,4.654467519,3.25E-06,8.67E-05
11715354_a_at,8.533078926,0.217135244,0.072914568,2.977940479,0.002901923,0.027567949
11715355_at,9.057203406,0.201098796,0.070913677,2.835825264,0.004570745,0.039831174
11715356_x_at,9.052047092,0.202862187,0.070926682,2.860167461,0.004234174,0.037611539
11715359_a_at,8.706213344,0.367630941,0.072436228,5.075235844,3.87E-07,1.29E-05
11715360_x_at,9.286976445,0.323223936,0.070119631,4.609606923,4.03E-06,0.000105319
11715364_a_at,5.396298833,-0.355792038,0.091751536,-3.877777444,0.000105415,0.001779135
11715365_x_at,5.66882173,-0.389141245,0.089404477,-4.352592381,1.35E-05,0.000304205
11715378_x_at,2.610307469,0.561396912,0.131244744,4.277481114,1.89E-05,0.000404366
11715381_a_at,7.102190992,0.253088256,0.079330673,3.190295072,0.001421276,0.015442947
11715386_at,5.425639743,0.942786405,0.126310455,7.464040926,8.39E-14,8.65E-12
11715387_at,7.719842218,-0.283649448,0.076308224,-3.717154372,0.000201479,0.003051719
11715388_s_at,9.816730835,-0.244567615,0.068068569,-3.592959537,0.000326943,0.004602547
11715393_a_at,7.772607163,-0.231771033,0.076345646,-3.035812043,0.002398889,0.023527518
11715411_a_at,9.297902161,-0.192374287,0.069714173,-2.759471695,0.00578949,0.047677563
11715419_at,5.370525841,0.372555914,0.092115522,4.044442316,5.24E-05,0.000983581
11715461_at,7.293607423,0.232069428,0.078925781,2.940350089,0.003278416,0.030559648
11715481_a_at,4.524376164,-1.256055235,0.109304096,-11.49138306,1.46E-30,9.57E-28
11715491_s_at,5.00585586,0.289007752,0.09546268,3.027442277,0.002466328,0.02406728
11715530_a_at,8.705669713,0.202439807,0.07191272,2.815076484,0.004876563,0.041897408
11715541_a_at,6.019488901,0.361833078,0.086502898,4.182901229,2.88E-05,0.000582766
11715542_s_at,6.717692435,0.305730905,0.081562683,3.748416476,0.000177955,0.002745684
11715561_s_at,4.414383159,0.510238396,0.102459678,4.979894571,6.36E-07,2.02E-05
11715562_x_at,3.746319702,0.695744086,0.112407115,6.189502206,6.04E-10,3.47E-08
11715563_s_at,3.340189247,0.518214054,0.117046357,4.427425736,9.54E-06,0.000224143
11715571_a_at,6.043993113,-0.243298841,0.085746189,-2.837430374,0.004547826,0.039696294
